0,39
39,20
59,39
98,93
191,83
274,103
377,83
460,20
480,44
524,44
568,42
610,54
664,20
684,54
738,20
758,44
802,83
885,34
919,83
1002,83
1085,83
1168,83
1251,83
1334,83
1417,83
1500,83
1583,20
1603,20
1623,54
1677,54
1731,54
0,83
83,83
166,83
249,83
332,83
415,83
498,83
581,83
664,83
747,83
830,20
850,83
933,83
1016,83
1099,94
1193,83
1276,83
1359,83
1442,83
1525,83
1608,83
1691,83
1774,83
1857,83
1940,94
2034,83
2117,84
2201,83
2284,44
2328,44
2372,44
2416,54
0,44
44,29
73,73
146,74
220,73
293,74
367,73
440,59
499,73
572,74
646,20
666,59
725,74
799,20
819,84
903,74
977,74
1051,74
1125,74
1199,59
1258,73
1331,59
1390,74
1464,74
1538,84
1622,73
1695,73
1768,73
1841,68
1909,20
1929,68
1997,63
123
